kode_barang,nama_barang,kategori,harga_satuan,stok_awal,stok_minimum,stok_maksimum,status_barang,created_at
BRG001,Aqua 600ml,Minuman,5000,150,50,300,Aktif,2025-01-01
BRG002,Rinso,Deterjen,15000,100,30,200,Aktif,2025-01-01
BRG003,Coca Cola,Minuman,8000,200,80,400,Aktif,2025-01-01
BRG004,Indomie,Makanan,3000,250,100,500,Aktif,2025-01-01
BRG005,Sari Roti,Makanan,12000,80,25,150,Aktif,2025-01-01
BRG006,Sunlight,Deterjen,12000,60,20,120,Aktif,2025-01-01
BRG007,Teh Botol,Minuman,6000,350,100,600,Aktif,2025-01-01
BRG008,Susu Ultra,Minuman,10000,120,40,250,Aktif,2025-01-01
BRG009,Sabun Lifebuoy,Kesehatan,8000,90,30,180,Aktif,2025-01-01
BRG010,Shampoo Clear,Kesehatan,12000,70,25,140,Aktif,2025-01-01
BRG011,Pasta Gigi Pepsodent,Kesehatan,6000,85,30,170,Aktif,2025-01-01
BRG012,Tissue Paseo,Kesehatan,15000,200,50,400,Aktif,2025-01-01
BRG013,Mie Sedap,Makanan,2500,180,60,360,Aktif,2025-01-01
BRG014,Roti Tawar,Makanan,10000,60,20,120,Aktif,2025-01-01
BRG015,Sprite,Minuman,7000,160,60,320,Aktif,2025-01-01
